# sample_index adc_code aperture_ns
252 1987 252000000
253 1985 253000000
254 1985 254000000
255 1985 255000000
256 1986 256000000
257 1989 257000000
258 1989 258000000
259 1991 259000000
260 1993 260000000
261 1997 261000000
262 1997 262000000
263 1997 263000000
264 1997 264000000
265 1996 265000000
266 1994 266000000
267 1993 267000000
268 1993 268000000
269 1990 269000000
270 1989 270000000
271 1990 271000000
272 1991 272000000
273 1990 273000000
274 1988 274000000
275 1987 275000000
276 1990 276000000
277 1990 277000000
278 1992 278000000
279 1994 279000000
280 1995 280000000
281 1995 281000000
282 1995 282000000
283 1995 283000000
284 1994 284000000
285 1994 285000000
286 1994 286000000
287 1994 287000000
288 1994 288000000
289 1995 289000000
290 1994 290000000
291 1994 291000000
292 1995 292000000
293 1995 293000000
294 1995 294000000
295 1995 295000000
296 1994 296000000
297 1994 297000000
298 1994 298000000
299 1993 299000000
300 1993 300000000
301 1995 301000000
302 1995 302000000
303 1995 303000000
304 1996 304000000
305 1996 305000000
306 1998 306000000
307 2000 307000000
308 2001 308000000
309 2001 309000000
310 2000 310000000
311 2000 311000000
312 2001 312000000
313 2001 313000000
314 2003 314000000
315 2003 315000000
316 2002 316000000
317 2002 317000000
318 2000 318000000
319 2000 319000000
320 1998 320000000
321 1998 321000000
322 1998 322000000
323 1997 323000000
324 1997 324000000
325 1996 325000000
326 1996 326000000
327 1996 327000000
328 1997 328000000
329 1996 329000000
330 1996 330000000
331 1996 331000000
332 1996 332000000
333 1996 333000000
334 1998 334000000
335 1999 335000000
336 1999 336000000
337 2000 337000000
338 2000 338000000
339 2001 339000000
340 2001 340000000
341 2001 341000000
342 2001 342000000
343 2001 343000000
344 2001 344000000
345 2003 345000000
346 2002 346000000
347 2003 347000000
348 2003 348000000
349 2002 349000000
350 2001 350000000
351 2004 351000000
352 2005 352000000
353 2005 353000000
354 2005 354000000
355 2005 355000000
356 2004 356000000
357 2003 357000000
358 2003 358000000
359 2003 359000000
360 2003 360000000
361 2005 361000000
362 2006 362000000
363 2006 363000000
364 2006 364000000
365 2006 365000000
366 2006 366000000
367 2006 367000000
368 2005 368000000
369 2005 369000000
370 2004 370000000
371 2005 371000000
372 2005 372000000
373 2005 373000000
374 2004 374000000
375 2004 375000000
376 2003 376000000
377 2003 377000000
378 2003 378000000
379 2003 379000000
380 2003 380000000
381 2003 381000000
382 2004 382000000
383 2004 383000000
384 2004 384000000
385 2004 385000000
386 2004 386000000
387 2005 387000000
388 2006 388000000
389 2007 389000000
390 2009 390000000
391 2009 391000000
392 2010 392000000
393 2008 393000000
394 2008 394000000
395 2009 395000000
396 2010 396000000
397 2010 397000000
398 2010 398000000
399 2009 399000000
400 2009 400000000
401 2009 401000000
402 2010 402000000
403 2010 403000000
404 2010 404000000
405 2010 405000000
406 2010 406000000
407 2008 407000000
408 2008 408000000
409 2008 409000000
410 2008 410000000
411 2008 411000000
412 2008 412000000
413 2009 413000000
414 2010 414000000
415 2009 415000000
416 2008 416000000
417 2007 417000000
418 2009 418000000
419 2009 419000000
420 2010 420000000
421 2010 421000000
422 2009 422000000
423 2009 423000000
424 2010 424000000
425 2010 425000000
426 2010 426000000
427 2012 427000000
428 2013 428000000
429 2011 429000000
430 2010 430000000
431 2010 431000000
432 2010 432000000
433 2011 433000000
434 2011 434000000
435 2011 435000000
436 2011 436000000
437 2012 437000000
438 2012 438000000
439 2012 439000000
440 2012 440000000
441 2012 441000000
442 2012 442000000
443 2012 443000000
444 2012 444000000
445 2013 445000000
446 2012 446000000
447 2012 447000000
448 2012 448000000
449 2012 449000000
450 2012 450000000
451 2012 451000000
452 2012 452000000
453 2011 453000000
454 2011 454000000
455 2012 455000000
456 2012 456000000
457 2012 457000000
458 2011 458000000
459 2012 459000000
460 2014 460000000
461 2014 461000000
462 2014 462000000
463 2013 463000000
464 2013 464000000
465 2013 465000000
466 2012 466000000
467 2012 467000000
468 2012 468000000
469 2012 469000000
470 2012 470000000
471 2012 471000000
472 2012 472000000
473 2009 473000000
474 2009 474000000
475 2009 475000000
476 2009 476000000
477 2009 477000000
478 2010 478000000
479 2010 479000000
480 2009 480000000
481 2009 481000000
482 2008 482000000
483 2008 483000000
484 2009 484000000
485 2010 485000000
486 2011 486000000
487 2011 487000000
488 2012 488000000
489 2011 489000000
490 2011 490000000
491 2011 491000000
492 2012 492000000
493 2012 493000000
494 2012 494000000
495 2012 495000000
496 2011 496000000
497 2011 497000000
498 2011 498000000
499 2011 499000000
500 2012 500000000
501 2013 501000000
502 2014 502000000
503 2013 503000000
504 2013 504000000
505 2013 505000000
506 2012 506000000
507 2012 507000000
508 2012 508000000
509 2012 509000000
510 2012 510000000
511 2012 511000000
512 2014 512000000
513 2014 513000000
514 2015 514000000
515 2015 515000000
516 2015 516000000
